name,status,archived,created_at,scheduled_at,updated_at,send_time
Vacation time_ Not without your favorite sneakers!,Sent,False,2024-08-07T12:37:04.954456+00:00,2024-08-08T07:27:19.377668+00:00,2024-08-12T15:00:00.453800+00:00,2024-08-12T15:00:00+00:00
Step Up Your Summer Style - Loafers at 50% Off!,Sent,False,2024-08-06T07:26:39.568138+00:00,2024-08-07T13:00:04.625422+00:00,2024-08-08T15:00:09.169888+00:00,2024-08-08T15:00:00+00:00
05.08 Summer Holiday. Grab the hottest summer deals!,Sent,False,2024-08-06T07:04:45.682622+00:00,2024-08-06T07:21:45.798125+00:00,2024-08-06T15:59:55.948992+00:00,2024-08-06T16:00:00+00:00
29.07 Last Sizes,Sent,False,2024-07-22T07:16:30.264269+00:00,2024-07-22T12:19:38.044054+00:00,2024-07-29T15:29:51.264469+00:00,2024-07-29T15:30:00+00:00
25.07 Loafers - Summer Essentials,Sent,False,2024-07-22T06:56:25.227180+00:00,2024-07-22T07:14:36.777439+00:00,2024-07-25T07:00:07.527344+00:00,2024-07-25T07:00:00+00:00
21.07.24 Summer Breeze: SS' Collection,Sent,False,2024-07-18T12:47:10.194305+00:00,2024-07-18T15:53:22.849519+00:00,2024-07-21T15:29:50.619712+00:00,2024-07-21T15:30:00+00:00
18.07 Premium - Weddings,Sent,False,2024-07-05T15:41:48.724793+00:00,2024-07-05T15:48:36.390574+00:00,2024-07-18T15:00:17.789676+00:00,2024-07-18T15:00:00+00:00
15.07 Your favorite sneakers are back,Sent,False,2024-07-05T15:21:49.070612+00:00,2024-07-08T09:44:26.835629+00:00,2024-07-15T15:00:07.762112+00:00,2024-07-15T15:00:00+00:00
11.07 Last sizes 40-45,Sent,False,2024-07-05T09:56:41.648972+00:00,2024-07-05T14:54:15.031095+00:00,2024-07-11T15:00:17.403538+00:00,2024-07-11T15:00:00+00:00
08.07 Summer Sale is on,Sent,False,2024-07-05T08:31:03.189240+00:00,2024-07-05T14:52:13.413345+00:00,2024-07-08T15:00:09.078114+00:00,2024-07-08T15:00:00+00:00
04.07 - Blog Premium,Sent,False,2024-07-04T10:22:06.132751+00:00,2024-07-05T04:41:37.312649+00:00,2024-07-05T07:59:53.908901+00:00,2024-07-05T08:00:00+00:00
27.06 - FLASH SALE - 30_ ALL,Sent,False,2024-06-22T05:31:07.751654+00:00,2024-06-25T05:10:52.197708+00:00,2024-06-27T15:00:03.512633+00:00,2024-06-27T15:00:00+00:00
24.06 - Traction Loafer or Boat shoes,Sent,False,2024-06-11T16:33:15.255667+00:00,2024-06-13T04:37:14.703001+00:00,2024-06-24T14:59:53.775088+00:00,2024-06-24T15:00:00+00:00
21.06 - Discover Our Trending Blue And Grey Styles,Sent,False,2024-06-11T16:10:17.945599+00:00,2024-06-11T16:47:49.551138+00:00,2024-06-21T07:59:52.416625+00:00,2024-06-21T08:00:00+00:00
19.06 - Complete Your Look: New Arrival Leather Belts for Summer!,Sent,False,2024-06-06T07:14:53.716022+00:00,2024-06-06T10:20:43.416709+00:00,2024-06-19T14:59:52.252647+00:00,2024-06-19T15:00:00+00:00
17.06 - June Specials: Get your perfect pair of Summer Loafers,Sent,False,2024-06-06T06:53:40.448081+00:00,2024-06-06T10:22:08.754552+00:00,2024-06-17T14:59:58.125476+00:00,2024-06-17T15:00:00+00:00
14.06 - Surprise Dad: 20% Off on Father's Day Gifts!,Sent,False,2024-06-06T06:08:50.072560+00:00,2024-06-06T06:43:59.550581+00:00,2024-06-14T06:59:57.009433+00:00,2024-06-14T07:00:00+00:00
10.06 Step Into Fashion & comfort: Explore our latest summer collection,Sent,False,2024-06-06T05:56:24.860049+00:00,2024-06-06T08:42:13.729992+00:00,2024-06-10T15:00:02.779968+00:00,2024-06-10T15:00:00+00:00
06.06 - Shades of summer at 20% off,Sent,False,2024-06-04T11:12:33.887933+00:00,2024-06-05T09:48:31.767048+00:00,2024-06-06T15:00:18.346948+00:00,2024-06-06T15:00:00+00:00
31/05 Ultimate Must Haves,Sent,False,2024-05-09T05:58:14.299304+00:00,2024-05-09T15:02:20.261141+00:00,2024-05-31T15:29:51.172841+00:00,2024-05-31T15:30:00+00:00
27/05 Our Premium Leather Styles,Sent,False,2024-05-07T06:15:07.372592+00:00,2024-05-08T12:10:41.465409+00:00,2024-05-27T15:59:59.055721+00:00,2024-05-27T16:00:00+00:00
24/05 Your Sneakers Are Calling You Back,Sent,False,2024-05-08T07:19:40.412111+00:00,2024-05-08T12:12:18.787920+00:00,2024-05-24T15:45:05.964576+00:00,2024-05-24T15:45:00+00:00
